motif,axis,knit_dir,crown_height,cable_tension,L_flat,L_rest,status
1,wale,0,0.1493737,1384.03406808,1.3245761063068222,1.2186100178022765,OK
1,wale,15,0.17880145,703.18913087,1.374281382132988,1.264338871562349,OK
1,wale,30,0.17165869,849.16552715,1.353774210389899,1.2454722735587072,OK
1,wale,45,0.21094919,214.65705559,1.5873144492955347,1.4603292933518919,OK
1,wale,60,0.18856009,529.75169358,1.4015606580331765,1.2894358053905224,OK
1,wale,75,0.21158121,218.54095639,1.5439955777575878,1.4204759315369808,OK
1,wale,90,0.19969827,384.87802452,1.4310407382403012,1.3165574791810772,OK
1,course,0,0.20631926,253.296597,1.4310407382403012,1.3165574791810772,OK
1,course,15,0.16434896,1188.58278293,1.3228687041232545,1.2170392077933943,OK
1,course,30,0.20499732,243.88841608,1.4494784148676578,1.3335201416782452,OK
1,course,45,0.1977577,353.76828014,1.412153185331962,1.2991809305054052,OK
1,course,60,0.13412337,4825.69107675,1.287702467314815,1.1846862699296299,OK
1,course,75,0.21621531,133.47845891,1.537888819485722,1.4148577139268643,OK
1,course,90,0.16699905,1154.80492492,1.3245761063068222,1.2186100178022765,OK
2,wale,0,0.16558583,1354.36149869,1.3245761063068222,1.2186100178022765,OK
2,wale,15,0.19072007,693.91078222,1.374281382132988,1.264338871562349,OK
2,wale,30,0.18781435,848.80515549,1.353774210389899,1.2454722735587072,OK
2,wale,45,0.23478555,176.4173372,1.5873144492955347,1.4603292933518919,OK
2,wale,60,0.20661641,517.77044541,1.4015606580331765,1.2894358053905224,OK
2,wale,75,0.23549211,182.7846951,1.5439955777575878,1.4204759315369808,OK
2,wale,90,0.21912085,366.08809527,1.4310407382403012,1.3165574791810772,OK
2,course,0,0.22303283,301.09960023,1.4310407382403012,1.3165574791810772,OK
2,course,15,0.15324378,2886.31844547,1.3228687041232545,1.2170392077933943,OK
2,course,30,0.2222509,281.49633449,1.4494784148676578,1.3335201416782452,OK
2,course,45,0.21240431,413.05474457,1.412153185331962,1.2991809305054052,OK
2,course,60,0.15639941,2808.44730716,1.287702467314815,1.1846862699296299,OK
2,course,75,0.2372206,149.42018703,1.537888819485722,1.4148577139268643,OK
2,course,90,0.17592986,1246.44949279,1.3245761063068222,1.2186100178022765,OK
